me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
Ocho Anejo,816654872,Spirits,BAR,3.69,3.69,False
Ocho Anejo Margarita,485213727,Cocktail,BAR,5.5,5.5,False
Ocho Plata Margarita,485211406,Cocktail,BAR,2.94,2.94,False
Ocho Plata Shot,562625390,Spirits,BAR,1.77,1.77,False
Ocho Reposado ,816652568,Spirits,BAR,2.43,2.43,False
Oka Brand Dry Bermutto,727497762,Spirits,BAR,1.3,1.3,False
Okocim,752167304,Beer,BAR,1.88,1.88,False
Old Cuban Bitcher,628077342,Cocktail,BAR,14.39,14.39,False
Old Fashioned,484616986,Cocktail,BAR,1.63,1.63,False
Old Fashioned ,1185714005,Cocktail,BAR,1.71,1.71,False
Old Fitz Spring 2025 9 Year,973287831,Spirits,BAR,5.9,5.9,False
Old Fitzgerald 2023 Release,572506415,Spirits,BAR,6.35,6.35,False
Old Fitzgerald 7yr Bottled in Bond Bourbon,1161671707,Spirits,BAR,3,3,False
Old Money,794393749,Cocktail,BAR,2.29,2.29,True
Old Overholt Shot,562591695,Spirits,BAR,0,,False
Old Rip Van Winkle 10 Yr,788860355,Spirits,BAR,6.29,6.29,False
Old Tom Collins,844814333,Cocktail,BAR,2.68,2.68,False
On A Lark - Single,348308161,Cocktail,BAR,1.62,1.62,False
Onesie- Mamalehs,413862184,Retail,MENU,11.25,11.25,False
Onion Rings,981715930,Appetizers,MENU,0.78,0.78,False
"Option 1: Coffee, Tea, Pastries, 30ppl",272539433,Large Brunch Packages,MENU,81.22,81.22,False
"Option 2: The Essentials, 30ppl ",286337574,Large Brunch Packages,MENU,102.15,102.15,False
Option 3: The Full Spread (30ppl),287415125,Large Brunch Packages,MENU,181.53,181.53,False
Option 3a - The Full Spread (30ppl) for Teens,1293611243,Large Brunch Packages,MENU,181.53,181.53,False
Orange Juice,973681426,N/A Bev,BAR,1.02,1.02,False
Orange Juice - 8oz.,379458695,Drinks,MENU,1.8,1.8,False
Original Naked & Famous,761491539,Cocktail,BAR,3.83,3.83,False
Orval,421846763,Beer,BAR,3.83,3.83,False
Overnow,398340811,Cocktail,BAR,2.69,2.69,False
Oxacan Dead,746155436,Cocktail,BAR,2.97,2.97,False
Oxbow Farmhouse Pale Ale 12oz Can,1223287297,Beer,BAR,1.75,1.75,False
Oxbow Surf Melon,945088398,Beer,BAR,10,10,True
Oxbow Town Line Porter,1019039234,Beer,BAR,2.8,2.8,True
Oyster By the Each,873147925,Appetizers,MENU,0.8,0.8,False
Oysters,252656032,Appetizers,MENU,4.91,4.91,True
Painkiller,253798828,Cocktail,BAR,4,4,False
Paloma,973123354,Cocktail,BAR,3.51,3.51,False
Panna Cotta - Buttermilk,488121268,Pastries,MENU,2.02,2.02,True
Pappy Van Winkle 15 Year,1162821109,Spirits,BAR,11.5,11.5,False
Paranubes Daiquiri,493505063,Cocktail,BAR,2.24,2.24,False
Partly Supreme,1139981859,Cocktail,BAR,2.46,2.46,False
Passionfruit Cheesecake - Slice,592993931,Holiday Items,MENU,1.91,1.91,True
Pastrami Burger,245904775,Sandwiches,MENU,3.32,3.32,True
Pastrami Lox - Retail 1/4#,408874951,Deli Case,MENU,2.38,2.38,True
"Pastrami, Egg, and Cheese Sandwich",245922083,Sandwiches,MENU,1.95,1.95,False
Pastry Platter (large),1262816611,Platters,MENU,14.56,14.56,False
Pastry Platter (small),401522341,Platters,MENU,7.34,7.34,False
Pasubio,727497108,Spirits,BAR,0.96,0.96,False
Pathfinder Buck ,1184558425,Cocktail,BAR,2.09,2.09,False
Pathfinder Shot ,1237199647,Spirits,BAR,1.77,1.77,False
Patron 100 Shot,1193221842,Spirits,BAR,3.41,3.41,False
Pearl Salami - 1/2# retail,375804563,Deli Case,MENU,3.34,3.34,False
peloton,725178599,Spirits,BAR,1.07,1.07,True
Penicillin,856826658,Cocktail,BAR,2.77,2.77,False
Pere Labat,945066161,Spirits,BAR,1.24,1.24,False
Pickled Carrots - Retail,375801415,Deli Case,MENU,0.57,0.57,False
Pickled Cucumber Lemonade,842978234,Drinks,MENU,1.25,1.25,False
Pickled Egg,252656457,Appetizers,MENU,0.43,0.43,False
Pickled Green Tomatoes (retail Pint),301896777,Deli Case,MENU,3.29,3.29,False
Pickles the 'Tini,298380004,Cocktail,BAR,39.89,39.89,False
Pierre Ferrand 1840,816698413,Spirits,BAR,2.2,2.2,False
Pierre Ferrand Dry Curacao Shot,507351282,Spirits,BAR,1.42,1.42,False
Pimento Cheese Dip,298739889,Appetizers,MENU,0.91,0.91,False
Pine Cocktail NOT AR,1057069718,Cocktail,BAR,1.3,1.3,False
Pineapple Death God,280312375,Cocktail,BAR,1.41,1.41,False
Pineapple Pimms Cup,434939825,Cocktail,BAR,1.8,1.8,False
Pint Foam Heavy Water,549526921,Draught Beer,BAR,2.51,2.51,True
Pint Lamplighter Birds draught ,1289894279,Draught Beer Pint,BAR,1.94,1.94,False
Pint Narragansett,381673667,Draught Beer Pint,BAR,0.75,0.75,False
Pint Notch Pils,417304377,Draught Beer Pint,BAR,1.45,1.45,False
Pint Pickled Eggs,467049715,Retail,MENU,1.95,1.95,False
Pint Prairie Rainbow Sherbet,421227881,Draught Beer,BAR,2.88,2.88,True
Pint Remnant Hangtime ,417057297,Draught Beer Pint,BAR,2.22,2.22,False
Pint Sacred Profane Dark Lager,417307221,Draught Beer Pint,BAR,2.29,2.29,False
Pint Zero Gravity Little Wolf PA,417307285,Draught Beer,BAR,1.29,1.29,True
Pint ZG Conehead,933369148,Draught Beer Pint,BAR,1.25,1.25,False
Pint ZG Oktoberfest,725170047,Draught Beer,BAR,1.25,1.25,True
Pitcher Narragansett,421895935,Draught Beer,BAR,2.99,2.99,False
Pitcher Notch Pils,522472880,Draught Beer,BAR,5.44,5.44,False
Pitcher Remnant Hangtime,549534744,Draught Beer,BAR,8.86,8.86,False
Pitcher Sacred Profane Dark,933373640,Draught Beer,BAR,9.17,9.17,False
Pitcher Zero Gravity Conehead,562622019,Draught Beer,BAR,4.99,4.99,False
Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True
Pizza Bagels - 4-Frozen Salami & Jalapeno,375228430,Freezer,MENU,3.15,3.15,True
Plain Bagel,246264737,Breads,MENU,0.1,0.1,False
Plain Coconut Macaroons,593056091,Holiday Items,MENU,0.23,0.23,False
Plain Cream Cheese (half pint),239549060,Deli Case,MENU,1.92,1.92,False
Plain Tofutti (half pint),239552570,Deli Case,MENU,1.53,1.53,False
Plan Bee Dandeliaison,924891850,Beer,BAR,11.25,11.25,True
Polar Seltzer Water,379459268,Drinks,MENU,0.64,0.64,False
Potato Knish Frozen 4 pack,375813038,Freezer,MENU,1.13,1.13,False
