me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
 Jester King Le Petit Prince Farmhouse 16oz Can,833067715,Beer,BAR,2.88,2.88,True
1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False
1/2 Dozen Bialys,246657553,Freezer,MENU,0.68,0.68,False
1/2 Pint Hot Paste,467047904,Retail,MENU,2.5,2.5,False
1/2 Pint Katsu Sauce,467054619,Retail,MENU,1.36,1.36,False
1/2 Pint Pickled Shiitakes,467048996,Retail,MENU,2.03,2.03,False
1/2 Pint Retail Hot Aioli,467017731,Retail,MENU,1.99,1.99,False
1/2 Pint Tabasco Honey,467048268,Retail,MENU,2.79,2.79,False
1/2 Pour Boston Maple Cream,612675235,Spirits,BAR,0.66,0.66,False
1/2 Sour Pickles (retail Quart),301895879,Deli Case,MENU,4.08,4.08,False
1/2# Corned Beef,247932824,Deli Case,MENU,5.46,5.46,False
1/2# Nova (hand-sliced),247931929,Deli Case,MENU,7.69,7.69,False
1/2# Pastrami,247932478,Deli Case,MENU,4.97,4.97,False
1/2gl Albone Glass,612676704,Wine,BAR,1.31,1.31,True
1/2gl Alsina Cava,612675599,Wine,BAR,0.82,0.82,False
1/2gl Damase Picpoul Glass ,612675866,Wine,BAR,1.12,1.12,True
1/2gl Mary Taylor Nimes Glass ,612676147,Wine,BAR,1.18,1.18,True
1/2gl Meinklang Mulutshack Weisser,612675955,Wine,BAR,1.31,1.31,True
1/4# Nova Lox - hand sliced,301908283,Deli Case,MENU,3.91,3.91,False
1/4# Sable,247932342,Deli Case,MENU,7.38,7.38,False
1/4# Sturgeon,247933283,Deli Case,MENU,9.61,9.61,False
12oz Hibiscus Iced Tea,298395647,Drinks,MENU,0.87,0.87,False
15 Stars Timeless Reserve 13yr Bourbon,1058129258,Spirits,BAR,11.97,11.97,False
20oz Hibiscus Iced Tea,298397909,Drinks,MENU,0.87,0.87,False
20oz Iced Coffee,298392205,Drinks,MENU,1.62,1.62,False
4PK Notch State Park Lager,522480199,Draught Beer,BAR,8,8,True
50/50 Margarita,645498278,Cocktail List,BAR,1.46,1.46,False
"6"" Funfetti Cake  1 ",620659903,Custom Cakes,MENU,3.84,3.84,False
6-pack Assorted Bagels ,246304090,Freezer,MENU,0.92,0.92,False
"8"" Funfetti Cake ",621132425,Custom Cakes,MENU,7.43,7.43,False
A Few Small Beers,1139976860,Beer,BAR,2.44,2.44,True
Aberlour,816627069,Spirits,BAR,3.35,3.35,False
Add Fried Egg,973502468,Sides,MENU,0.27,0.27,False
Add Katsu Chicken,973499901,Sides,MENU,1.29,1.29,False
Add Old Fashioned Bacon,973501897,Sides,MENU,0.23,0.23,False
Add Second Flat Patty,973500678,Sides,MENU,1,1,False
After Hours,280322486,Cocktail,BAR,1.88,1.88,True
Air Mail,387317621,Cocktail,BAR,2.05,2.05,False
Alaska,823011175,Cocktail,BAR,3.06,3.06,False
Allagash White Ale,421842417,Beer,BAR,1.5,1.5,False
Almanac strawberry shorty,612676942,Draught Beer,BAR,0.95,0.95,True
Always Sunny,973152043,Cocktail,BAR,0.56,0.56,True
Amabuki Himawari Junmai Ginjo Cup Sake,1175870754,Beer,BAR,15.67,15.67,False
Amaretto Sour,973122714,Cocktail,BAR,1.49,1.49,False
Angostura 1 oz Shot,507281217,Spirits,BAR,1.28,1.28,False
Aperol,816670772,Spirits,BAR,1.26,1.26,False
Aperol Spritz,697255440,Cocktail,BAR,2.67,2.67,False
Apple Custard Pie - slice,622617086,Holiday Items,MENU,1.05,1.05,True
Apple Custard Pie - whole,622616424,Holiday Items,MENU,9.95,9.95,True
Appleton 8 Daiquiri,493502656,Cocktail,BAR,2.89,2.89,True
Appleton 8 Yr Daiquiri,493502225,Cocktail,BAR,2.89,2.89,True
Ardbeg 10YR,816627668,Spirits,BAR,3.45,3.45,False
Arette Gimlet,435614023,Cocktail,BAR,1.44,1.44,True
Arette Margarita,416031073,Cocktail,BAR,1.68,1.68,True
Arette Paloma,433518229,Cocktail,BAR,1.37,1.37,True
Artemisian Order,535297536,Cocktail,BAR,1.84,1.84,False
Artichoke/Chickpea Tagine,551776174,Dinner Catering,MENU,12.64,12.64,False
Artifact LWB Cider,522513412,Beer,BAR,2.63,2.63,False
Artifact Slow Down,1084755727,Beer,BAR,2.42,2.42,True
Athletic Golden Ale,421843127,Beer,BAR,1.4,1.4,False
Athletic Michelada,434936449,Cocktail,BAR,1.62,1.62,True
Atomic Black Espresso Liqueur,763598847,Spirits,BAR,1.24,1.24,False
Averna,816671527,Spirits,BAR,1.65,1.65,False
Babka French Toast (brunch),842797492,Brunch Menu,MENU,1.45,1.45,False
Babka French Toast - Retail,375799173,Brunch Menu,MENU,1.82,1.82,False
Babka Making Class for 20 ppl,609008238,Classes,MENU,208.27,208.27,False
"Babka Muffin, Chocolate",246966666,Pastries,MENU,0.64,0.64,True
"Babka Muffin, Cinnamon",246966550,Pastries,MENU,0.37,0.37,True
Bad Seed Cider,421842601,Beer,BAR,2.27,2.27,True
Bag O' Potato Chips,301817180,Sides,MENU,1.21,1.21,True
Bagel & Veggie Platter,401577391,Platters,MENU,12.41,12.41,False
"Bagels, Smoked Fish, and Cream Cheese",338644338,Packages,MENU,13.32,13.32,False
Baharat Spiced Chickpea Burger,1112150326,Sandwiches,MENU,2.14,2.14,False
Bakemono #9 Odorashi,1074797778,Spirits,BAR,11.35,11.35,False
Banana Spritz Single,973145390,Cocktail List,BAR,2.14,2.14,True
"Banana, Halvah & Chocolate Chunk Muffins",249891257,Pastries,MENU,0.59,0.59,False
Banana-Split Ice Cream Sandwich,298252742,Pastries,MENU,1.75,1.75,True
Bandolero,280317440,Cocktail,BAR,5.91,5.91,False
Barr Hill Gimlet,485827544,Cocktail,BAR,3.04,3.04,False
Barr Hill Gin Gibson,306017721,Cocktail,BAR,3.28,3.28,False
Barr Hill Gin Shot,507282858,Spirits,BAR,2.06,2.06,False
Barr Hill Martini,486193046,Cocktail,BAR,3.54,3.54,False
Barr Hill Negroni,485207840,Cocktail,BAR,2.95,2.95,False
Barr Hill Tom Cat Gin,652766972,Spirits,BAR,2.68,2.68,False
Becherovka,562663263,Spirits,BAR,1.56,1.56,False
Bee's Knees,662846632,Cocktail,BAR,1.8,1.8,False
Beef Borscht (retail quart),301910878,Freezer,MENU,5.22,5.22,False
Beef Tounge by the 1/2#,301907235,Deli Case,MENU,6.03,6.03,True
Beer Cheese,252640319,Appetizers,MENU,3.17,3.17,True
Beet Horseradish - Passover,377964462,Holiday Items,MENU,1.28,1.28,False
Beetnik,757349863,Cocktail List,BAR,4.12,4.12,False
Bella's Revenge,564354672,Cocktail,BAR,1.85,1.85,True
Belleflower Scrugsy IPA,625205244,Draught Beer,BAR,0,,True
Belleflower Violet Palms 16oz Can,1176827003,Beer,BAR,3.19,3.19,False
Belleflower Witches,562618771,Beer,BAR,3.52,3.52,True
Benedictine,816672049,Spirits,BAR,1.53,1.53,False
Bergamot Sour,757349660,Cocktail,BAR,1.57,1.57,False
Bergamot Sr,512419439,Cocktail,BAR,2.95,2.95,False
BEST BUDDY,381676829,Cocktail,BAR,2.85,2.85,True
Best Buddy Cocktail,1220475577,Cocktail List,BAR,2.58,2.58,False
Best Foot Forward,252659920,Cocktail,BAR,1.85,1.85,True
Big Drop Coba Maya,669151607,Beer,BAR,1.52,1.52,True
Big Veggie Mac,981706879,Sandwiches,MENU,1.44,1.44,True
Biggie Mimosa,467841242,Cocktail,BAR,1.98,1.98,False
Black and White Poppy Hamantaschen,351519000,Pastries,MENU,0.35,0.35,False
Black Bean Chili (freezer retail),842799335,Freezer,MENU,3.71,3.71,False
Blandy's Bual Madeira 3 oz,507355296,Spirits,BAR,2.65,2.65,True
Blanton's,433506974,Spirits,BAR,2.98,2.98,False
Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False
"Blintzes, Platter",849917379,Dinner Catering,MENU,12.43,12.43,False
Bloc Party,827113238,Cocktail,BAR,2.15,2.15,True
Blood Orange Margarita,638962075,Cocktail,BAR,2.74,2.74,True
Blood Orange Michelada,320140674,Cocktail,BAR,1.41,1.41,False
Bloody Mary,485389419,Drinks,MENU,2.59,2.59,False
Bloody Mary Pitcher,624363677,Cocktail,BAR,5.59,5.59,False
Bloody Moira (virgin),298377833,Cocktail,BAR,24.63,24.63,True
Bloody Moira for 1,401550472,Drinks,MENU,1.23,1.23,True
Bloody Moira for 2,401547997,Drinks,MENU,2.01,2.01,True
Bloody Moira for 4,401548348,Drinks,MENU,4.02,4.02,True
Bloody Moira w/vodka,331240578,Cocktail,BAR,57.6,57.6,True
Blue Whale,370159136,Cocktail,BAR,2.2,2.2,False
Bodega Brunch - B.E.C.,593641439,Brunch Menu,MENU,0.93,0.93,False
Bodega Brunch - Breakfast Sandwich,593648521,Brunch Menu,MENU,1.81,1.81,False
Bodega Brunch - Brocc. You Like a Hurricane,593643982,Brunch Menu,MENU,0.64,0.64,False
Bodega Brunch - El Camino,593642458,Brunch Menu,MENU,0.99,0.99,False
Bodega Brunch - Fried Chicken Torta,593650399,Brunch Menu,MENU,2.19,2.19,False
Bodega Brunch - Guadalupe,593645413,Brunch Menu,MENU,0.63,0.63,False
Bodega Brunch - Highwayman,593644995,Brunch Menu,MENU,0.88,0.88,False
Bodega Brunch - HomeFries,593672265,Brunch Menu,MENU,0.84,0.84,False
Bodega Brunch - Omelette,593671160,Brunch Menu,MENU,3.61,3.61,False
Bodega Brunch - Red Bandana,593647312,Brunch Menu,MENU,1.47,1.47,False
Bodega Brunch - Shotgun Willie,597308825,Brunch Menu,MENU,0.85,0.85,False
Bodega Brunch - Side Bacon,593671244,Brunch Menu,MENU,0.76,0.76,False
Bodega Brunch - Side Sausage,593672488,Brunch Menu,MENU,0.84,0.84,False
Bodega Brunch - Two Egg Plates,593669351,Brunch Menu,MENU,1.19,1.19,False
Bodega Brunch - Wolfman of Del Rio,597307478,Brunch Menu,MENU,0.98,0.98,False
Bodega Brunch - Xtra Tortilla,593672356,Brunch Menu,MENU,0.05,0.05,False
Bols Genever,816667875,Spirits,BAR,1.56,1.56,False
Bonecrusher,353026981,Cocktail List,BAR,3.59,3.59,False
Bonecrusher with Tanteo,252660976,Cocktail,BAR,2.05,2.05,True
Bookers,791953726,Spirits,BAR,4.58,4.58,False
Books - 100 Most Jewish Foods,413852216,Retail,MENU,8.98,8.98,False
Books- How to Raise a Jewish Dog,413848530,Retail,MENU,8.48,8.48,False
"Bottle Spring Water, 16.9oz.",379447213,Drinks,MENU,0.24,0.24,False
Boulevardier,280318024,Cocktail,BAR,3.59,3.59,False
Bounty Daiquiri,493496137,Cocktail,BAR,1.4,1.4,False
Bourbon-Vanilla Milkshake,401541711,Drinks,MENU,5,5,True
Box of Coffee,285655233,Drinks,MENU,12.04,12.04,False
Box of Tea,285660011,Drinks,MENU,9.37,9.37,False
Braised Brisket - Passover,587293067,Holiday Items,MENU,15.67,15.67,False
Braised Brisket for 12 ppl,551778043,Dinner Catering,MENU,58.74,58.74,False
Brand Gl,562622382,Wine,BAR,2.46,2.46,True
Brasserie de Blaugies La Vermontoise,1091179285,Beer,BAR,10.75,10.75,True
Braulio,816672391,Spirits,BAR,1.45,1.45,False
Bread and Butter Pickle Cocktail,455879348,Cocktail,BAR,1.73,1.73,True
Bread and Butter Pickles ,1176918695,Appetizers,MENU,0.56,0.56,False
Breakfast Classics Sandwich Platter,338684509,Platters,MENU,27.77,27.77,False
Brennivin,816668116,Spirits,BAR,1.45,1.45,False
Brick and Feather Saurons Porter,1032062192,Beer,BAR,3.08,3.08,True
Brine of Frankenstien,997089200,Cocktail,BAR,0.91,0.91,True
Brisket Quesadilla,816586417,Appetizers,MENU,2.77,2.77,False
Broad Holiday Cocktail,513253093,Cocktail,BAR,2.12,2.12,True
Broccoli Tempura,488194211,Appetizers,MENU,1.5,1.5,True
Broccolini & Cheddar Sauce,873143962,Appetizers,MENU,0.96,0.96,True
Brutes Feels,840766039,Beer,BAR,0,,True
Brutes Rosa,840766164,Beer,BAR,0,,True
Buffalo Spiced Nuts,488283784,Appetizers,MENU,0.73,0.73,True
Buffalo Trace,433507322,Spirits,BAR,1.44,1.44,False
Buffalo Trace Manhattan,486197162,Cocktail,BAR,2.52,2.52,False
Buffalo Trace Old Fashioned,485836776,Cocktail,BAR,2.02,2.02,False
Buick 6,827114198,Cocktail,BAR,2.34,2.34,True
Bulgur Tabbouli,473179193,Dinner Catering,MENU,16.79,16.79,False
Bulk Bagels - Baker's Dozen,375238896,Breads,MENU,2.35,2.35,False
Bushwacker - Single,404222422,Cocktail,BAR,2.2,2.2,True
Butternut Squash Lasagna,1073846087,Entree Plates,MENU,3.54,3.54,True
Cactus Prick,972605858,Cocktail List,BAR,0.29,0.29,False
Cadenhead's Old Raj Red Label Gin,1235814293,Spirits,BAR,2.52,2.52,False
Caldo Cocktail,463573767,Cocktail,BAR,2.64,2.64,True
Cameron's Kick,388658678,Cocktail,BAR,2.43,2.43,False
Campari,816673156,Spirits,BAR,1.53,1.53,False
Campari and OJ,478066106,Cocktail,BAR,3.25,3.25,False
Candle - Good Light Shabbat (white),413848325,Retail,MENU,6,6,False
Candy Apple Jack Rose,997226170,Cocktail,BAR,2.22,2.22,True
"Candy,  C-Howard's Lemon Mints",413232677,Retail,MENU,0.9,0.9,False
"Candy, C-Howard's Scented Gum",413233021,Retail,MENU,0.9,0.9,False
"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False
"Candy, C-Howard's Violets",413235074,Retail,MENU,0.9,0.9,False
"Candy, Chocolate Covered Halvah",413232462,Retail,MENU,1.61,1.61,False
"Candy, Fruit Slice",413230709,Retail,MENU,0.66,0.66,False
"Candy, Goldenberg's Peanut Chews",413235404,Retail,MENU,1.1,1.1,False
"Candy, Joyva Jelly Rings",413235773,Retail,MENU,1.21,1.21,False
"Candy, Orthodox Chews",413232050,Retail,MENU,0.01,0.01,False
"Candy, Pickle Cotton Candy",413236627,Retail,MENU,2.54,2.54,False
"Candy, Rendez Vous Hard Candy",413237108,Retail,MENU,1.92,1.92,False
"Candy, Sesame Crunch",413237895,Retail,MENU,0.09,0.09,False
Canteloupe Drink,526545324,Cocktail,BAR,3.08,3.08,False
"Cap, Mamaleh's Dad Cap",413857040,Retail,MENU,15,15,False
Cap- Pickles the Great,413859033,Retail,MENU,15,15,False
cape codder cocktail,484721889,Drinks,MENU,2.15,2.15,False
Carafe From the Tank Rouge,829548931,Wine,BAR,8.71,8.71,False
Carpano Rosso,816681556,Spirits,BAR,1.06,1.06,True
Cascahuin Reposado Tequila,898646561,Spirits,BAR,5.61,5.61,False
Casino Cocktail,391945601,Cocktail,BAR,3.41,3.41,True
Catering - Yogurt & Fruit Spread for 10,1256504673,Dinner Catering,MENU,18.17,18.17,False
Catrina Negroni,323605448,Cocktail,BAR,2.44,2.44,False
Cauliflower Salad - Passover,587275258,Holiday Items,MENU,2.16,2.16,False
Cellario E Rosato,499652061,Wine,BAR,1.97,1.97,True
Chai Spiced Whiskey and Cider,1022118352,Cocktail,BAR,1.84,1.84,True
Chairman's Reserve Daiquiri,493500897,Cocktail,BAR,2.3,2.3,False
"Challah - Decorative Loaf, large",632237697,Dinner Catering,MENU,11.73,11.73,False
"Challah - Decorative Loaf, small",632237639,Dinner Catering,MENU,5.21,5.21,False
Challah - Round,475317693,Breads,MENU,1.21,1.21,False
Challah - Round w/ Raisins,475319143,Breads,MENU,2.04,2.04,False
Challah Loaf,245860740,Breads,MENU,1.38,1.38,False
Challah Roll,245858740,Breads,MENU,0.14,0.14,False
Challah Stuffing,493505550,Holiday Items,MENU,3.14,3.14,False
Challah Stuffing - Thanksgiving,494954772,Holiday Items,MENU,7.37,7.37,False
Champagne of Burgers (Winter 2026),1112135646,Entree Plates,MENU,4.28,4.28,False
Champs Élysées,422020307,Cocktail,BAR,2.79,2.79,False
Charlie's Turkey Sandwich,413846256,Sandwiches,MENU,1.28,1.28,False
Charoset - Passover,377248413,Holiday Items,MENU,18.83,18.83,False
Charoset Pie,490457274,Holiday Items,MENU,7.83,7.83,False
Charoset Pie - Whole - Thanksgiving,493698372,Holiday Items,MENU,10.62,10.62,False
Charred Brocolini,298766398,Appetizers,MENU,1.89,1.89,True
Chartreuse Green,816677172,Spirits,BAR,2.79,2.79,False
Chartreuse Yellow,816677250,Spirits,BAR,2.79,2.79,False
Cheddar Cheese (retail 1/2#),301897827,Deli Case,MENU,2.27,2.27,False
Cherry Hand Pies,298776945,Pastries,MENU,3.56,3.56,True
Chet Baker,862216123,Cocktail,BAR,2.37,2.37,False
Chichicapa Mezcaletti,562653483,Cocktail,BAR,1.97,1.97,False
Chicken Fried Oysters,298748699,Appetizers,MENU,3.7,3.7,True
Chicken Katsu,298760132,Sandwiches,MENU,3.15,3.15,False
Chicken Paprikash Pot Pie,247957547,Freezer,MENU,3.38,3.38,True
Chocolate Babka Loaf,471591660,Freezer,MENU,2.9,2.9,True
Chocolate Cake - 8in,312691918,Pastries,MENU,11.98,11.98,False
Chocolate Cake - Slice,621144826,Pastries,MENU,1.14,1.14,False
Chocolate Cream Sufganiyot,510290297,Holiday Items,MENU,0.8,0.8,False
Chocolate Milk - Mapleline,379463189,Drinks,MENU,1.9,1.9,False
Chocolate Sufganiyot,622637235,Holiday Items,MENU,0.8,0.8,False
Chocolate Tahini Swirl Pie,490475812,Holiday Items,MENU,6.4,6.4,False
Chocolate Tartlets,545320774,Pastries,MENU,1.46,1.46,False
Chopped Liver Appetizer,409372581,Sides,MENU,1.9,1.9,False
Cimarron Margarita,369529047,Cocktail,BAR,1.76,1.76,True
Cimarron Paloma,369528924,Cocktail,BAR,1.45,1.45,True
Cinnamon Babka Loaf,471591882,Freezer,MENU,1.72,1.72,True
Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False
Citizen Cider,499732131,Beer,BAR,2.77,2.77,True
Clairin Communal,1074783175,Spirits,BAR,1.36,1.36,False
Clairin Communal Daiquiri,493496863,Cocktail,BAR,2.13,2.13,False
Clairin Le Rocher,506698874,Spirits,BAR,2.01,2.01,True
Classic Impossible Burger,298765945,Sandwiches,MENU,4.72,4.72,True
Classic Nova Platter (large),1262830287,Platters,MENU,46.48,46.48,False
Classic Nova Platter (small),401574675,Platters,MENU,24.78,24.78,False
Classic Nova Platter - NO BAGELS,1139943334,Platters,MENU,26.83,26.83,False
Clement Coconut,828905554,Spirits,BAR,1.99,1.99,False
Clocked In NOT AR,253779258,N/A Bev,BAR,0.23,0.23,True
Clos De Mourres Red Wine BTG,725170481,Wine,BAR,1.51,1.51,True
Clothing- Mamaleh's Face T-shirt,413858063,Retail,MENU,14.75,14.75,False
Clothing- Pickles the Great T-Shirt,413861117,Retail,MENU,17,17,False
Clothing- Schmutz Bib,413854132,Retail,MENU,8.25,8.25,False
Cobra's Fang,253780469,Cocktail List,BAR,1.26,1.26,False
Cocchi Americano,816682617,Spirits,BAR,1,1,False
Coffee,811007497,N/A Bev,BAR,0.07,0.07,False
Coffee Box Add-on's ,1027665969,Drinks,MENU,3.27,3.27,False
Coffee Cake - Slice,472339488,Pastries,MENU,0.53,0.53,True
Cola - Fountainhead ,973348319,N/A Bev,BAR,0.36,0.36,False
Cola Zero - Fountainhead ,973350139,N/A Bev,BAR,0.26,0.26,False
Cold Brew,973679116,N/A Bev,BAR,0.6,0.6,False
Cold Turkey Sandwich,245900811,Sandwiches,MENU,3.22,3.22,False
Collective Arts Guava Gose,1053655667,Beer,BAR,2.63,2.63,True
Collective Arts Jam Up The Mash,421845137,Beer,BAR,2.45,2.45,True
Comoz Blanc Vermouth,460727401,Spirits,BAR,0.77,0.77,False
Compass Box,562601962,Spirits,BAR,1.7,1.7,False
Confetti Cocktail,313101465,Cocktail,BAR,3.13,3.13,True
Coniston Bluebird Bitter,1037137545,Beer,BAR,5,5,True
Cookie Plate,488122267,Pastries,MENU,0.99,0.99,True
"Cookie Sandwich, Strawberry",936723261,Freezer,MENU,3.44,3.44,True
Copy1-Gl Cellario Quantabasta ,1169748064,Wine,BAR,1.38,1.38,False
Cordovan,346552431,Cocktail,BAR,1.55,1.55,False
Cordovan Cobbler,301287014,Cocktail,BAR,1.83,1.83,False
Corn and Oil,803273545,Cocktail,BAR,1.55,1.55,False
Corn Maze,997221083,Cocktail,BAR,5.46,5.46,True
Cornmeal Fried Okra,873132085,Appetizers,MENU,1.82,1.82,True
Cosmopolitan,562657001,Cocktail,BAR,1.29,1.29,False
Cottage Salad,245888847,Soups & Salads,MENU,7.36,7.36,True
Covalle Gin,945065575,Spirits,BAR,1.6,1.6,False
Cranberry Sangria,804519643,Cocktail,BAR,0.51,0.51,False
Cranberry Sauce (half pint),500617995,Holiday Items,MENU,1.92,1.92,False
Cream Cheese 2oz.,401556376,Sides,MENU,0,,True
Crispy Smoked Chicken Wings,298740573,Appetizers,MENU,4.61,4.61,False
Crooked Stave Sour Rose Can,840764024,Beer,BAR,0,,True
Crown Heights Negroni ,1255133251,Cocktail,BAR,2.17,2.17,False
Cruz de Fuego Madrecuishe,1081942010,Spirits,BAR,4.64,4.64,False
Cup Matzah Ball Soup,245898926,Soups & Salads,MENU,0.73,0.73,False
Cup of Chicken Broth,301820275,Soups & Salads,MENU,0.67,0.67,True
Cupid's Bow,336590786,Cocktail,BAR,2.41,2.41,False
Curador,398102135,Cocktail,BAR,1.99,1.99,True
Curry Cashews,576560951,Appetizers,MENU,2.53,2.53,True
Cynar,816677642,Spirits,BAR,1.23,1.23,False
Cynar Julep,740327860,Cocktail,BAR,2,2,False
Damase Picpoul Glass ,612661027,Wine,BAR,2.23,2.23,True
Dark Espresso Martini,253781084,Cocktail List,BAR,2.49,2.49,False
Dark Power,996540984,Cocktail,BAR,3.45,3.45,False
Dauny,829560398,Wine,BAR,2.56,2.56,True
Dauny BTL,829560482,Wine,BAR,0,,True
De Ranke Cuvee,708774359,Beer,BAR,15,15,True
Deadman's Handle,847394771,Cocktail,BAR,3.5,3.5,True
Death Flip,611093346,Cocktail,BAR,3.06,3.06,False
Debbie Gibson,647541114,Cocktail List,BAR,2.86,2.86,True
Decaf Coffee,973481576,N/A Bev,BAR,0.42,0.42,False
Del Maguey Chichicapa,816658641,Spirits,BAR,3.07,3.07,False
Del Maguey Pechuga,972616690,Spirits,BAR,8.42,8.42,False
Del Maguey Vida Negroni,485208466,Cocktail,BAR,2.72,2.72,False
Del Mar,348323773,Cocktail,BAR,2.69,2.69,False
Deli Classics for the Whole Family,338665944,Packages,MENU,14.19,14.19,False
Deli Mustard (retail - 12 oz squeeze bottle),297616305,Deli Case,MENU,2.32,2.32,False
Deli Platter,338686275,Platters,MENU,32.25,32.25,False
Deli Sandwich Kit (4-6 people),333473326,Packages,MENU,21.85,21.85,False
Deli Sandwich Kit (4-6 people) - NOSH Pkg,855020126,Packages,MENU,26.52,26.52,False
Denizen Dark Vatted Daiquiri,493501530,Cocktail,BAR,2.07,2.07,False
Desert Flower,972604969,Cocktail List,BAR,1.81,1.81,True
Dewars,562601527,Spirits,BAR,1.7,1.7,False
Dieu Du Ciel Peche Mortel,752179214,Beer,BAR,3.33,3.33,True
Dieu Du Ciel Peche Mortel - Latte,421846142,Beer,BAR,3.33,3.33,True
Dill Cream Cheese (half pint),239548270,Deli Case,MENU,1.9,1.9,False
Dill Vodka,298378983,Cocktail,BAR,1.38,1.38,False
Diplomático Planas,1043706156,Spirits,BAR,1.18,1.18,False
Dirty Shirley,550298674,Cocktail,BAR,1.3,1.3,False
Dogfish Head Festina Peche 12oz Can,1182530130,Beer,BAR,1.43,1.43,False
Dolin Chambéryzette,1237278033,Spirits,BAR,0.97,0.97,False
Dot Dash,311635574,Cocktail,BAR,2.39,2.39,True
Duck Confit Frites,298758880,Entree Plates,MENU,6.06,6.06,True
Duck Nachos,987354652,Appetizers,MENU,4.27,4.27,False
Dusk til Dawn,498205378,Cocktail,BAR,4.46,4.46,True
Eggplant and Chickpea Tagine (bulk),247963228,Freezer,MENU,74.19,74.19,False
EH Taylor SBB,791954560,Spirits,BAR,3.31,3.31,True
El Tesoro Shot,562625300,Spirits,BAR,4.13,4.13,False
Electric Circus ,725177514,Cocktail,BAR,2.02,2.02,True
Elijah Craig 18 ,753735179,Spirits,BAR,6.83,6.83,False
Elijah Craig Small Batch,570700701,Spirits,BAR,1.83,1.83,False
ElVelo Blanco Tequila Shot,491088348,Spirits,BAR,2.43,2.43,False
ElVelo Gimlet,493495228,Cocktail,BAR,3.58,3.58,False
Elvelo Margarita,562641056,Cocktail,BAR,3.82,3.82,False
Emerald Cocktail Shot,452334479,Cocktail,BAR,1.28,1.28,True
Empress Cup,1089298070,Cocktail,BAR,2.02,2.02,False
Epochal Trisector,708777888,Beer,BAR,10.08,10.08,True
Equiano Rum Shot,555635999,Spirits,BAR,2.63,2.63,False
Este Vinho Verde Rose Can,401551612,Drinks,MENU,2.25,2.25,True
Everglade Cocktail,459301061,Cocktail,BAR,1.86,1.86,True
Everything Bagel,246271713,Breads,MENU,0.18,0.18,False
Fancy Les Cactus,516290778,Cocktail,BAR,2.4,2.4,False
Fat Orange Cat Trapp Gose,421846016,Beer,BAR,3.32,3.32,True
Felt Mansion,535297188,Cocktail,BAR,2.41,2.41,False
Fernet Branca Shot,562629930,Spirits,BAR,1.92,1.92,False
Fernet Buck,452333319,Cocktail,BAR,2.28,2.28,False
Fiddlehead Second Fiddle IPA,846415350,Beer,BAR,2.92,2.92,False
Fireball,562662884,Spirits,BAR,0.86,0.86,False
Firefly,623416273,Cocktail,BAR,2.13,2.13,True
Fireman's Carry,677956843,Cocktail,BAR,2.03,2.03,False
Fish and Chips,1124623834,Entree Plates,MENU,4.01,4.01,False
Fish Plate Veggies,301814958,Sides,MENU,1.2,1.2,False
Fish Platter for 2,301792056,Sandwiches,MENU,7.6,7.6,False
Fish Platter for 6,301792367,Sandwiches,MENU,19.14,19.14,False
Flame Thrower,759048225,Cocktail,BAR,1.69,1.69,False
Flamingo Baby NOT AR,253784876,Cocktail,BAR,2.66,2.66,True
Flor Del Desierto Cascabel Sotol,1235817768,Spirits,BAR,2.76,2.76,False
"Flourless Chocolate Cake - 6""",380168853,Holiday Items,MENU,3.4,3.4,True
"Flourless Chocolate Cake - 7"" Passover 2024",592901462,Holiday Items,MENU,6.42,6.42,False
Flourless Chocolate Cake - Slice,380240253,Holiday Items,MENU,0.81,0.81,False
Foam Blushing,663626867,Draught Beer,BAR,1.85,1.85,True
Folded Space,827225002,Cocktail,BAR,2.94,2.94,True
Folk Machine Rose,625205568,Wine,BAR,0,,True
Fomu Vanilla Milkshake,505857822,Drinks,MENU,2,2,False
Fomu Vanilla Milkshake (inactive),401529926,Drinks,MENU,2.25,2.25,True
Ford's Gimlet,484613627,Cocktail,BAR,1.77,1.77,False
Ford's Martini,484623322,Cocktail,BAR,2.12,2.12,False
Fords Gin Shot,549525198,Spirits,BAR,1.11,1.11,False
Fortaleza Anejo,548684700,Spirits,BAR,0,0,False
Fortaleza Blanco Shot,549530270,Spirits,BAR,2.21,2.21,False
Fortaleza Reposado,816653369,Spirits,BAR,0,,False
Fortaleza Still Strength,798848586,Spirits,BAR,2.96,2.96,False
Fortaleza Winter Blend 2024,944099215,Spirits,BAR,1.43,1.43,True
Fortaleza Winter Blend Shot,555657241,Spirits,BAR,1.43,1.43,True
Fortified H&H Madeira,752874686,Wine,BAR,2.05,2.05,False
Fortified Lustau Los Arcos Amontillado Sherry,752874290,Wine,BAR,1.56,1.56,False
Fortified Lustau Papirusa Sherry,752874250,Wine,BAR,1.3,1.3,False
Four Roses Shot,562538428,Spirits,BAR,1.12,1.12,False
Freezer Martini,841245484,Cocktail,BAR,2.14,2.14,False
French 75,821243218,Cocktail,BAR,2.13,2.13,False
